libuser,gender,age,award_total_amount
no,male,52,6007067.0486727655
no,female,50,4800357.163658924
yes,female,50,3818926.4847118817
no,female,46,4347352.010813828
no,female,46,3106292.9265370364
yes,female,56,4244361.711087671
no,male,32,3965948.839979499
no,female,58,3869838.353596232
no,female,61,5040443.925397743
yes,female,47,4570401.432108588
yes,male,67,7202203.029204315
yes,male,40,3735580.1341054686
yes,male,59,4989604.884448491
no,female,48,3936593.4528615493
yes,male,51,6432693.498513041
no,female,50,3149718.977187225
no,male,65,8116191.276340429
yes,female,63,4381435.1821181215
no,female,53,3688861.3886888153
yes,male,38,4686262.248700809
no,female,51,3588073.326853486
yes,male,53,6377621.103049512
no,male,56,4805013.149019969
no,female,38,1850794.226131789
yes,female,60,5043462.098088502
yes,female,43,3217607.634571072
yes,male,43,6636982.202400762
no,female,56,5605960.656707132
no,male,48,4879484.730861222
yes,female,63,5764918.003024234
no,male,48,3885422.7097004955
no,female,51,4185993.030933485
yes,male,57,6788092.120972987
no,male,51,4763748.915514165
yes,male,47,4133776.507345409
yes,male,73,7377661.411329148
yes,female,46,4463648.128828129
yes,female,48,5566178.560233274
yes,male,56,4676881.645029577
no,female,52,3390390.0816741446
no,female,57,5854534.096050625
no,male,56,5150299.151544766
no,female,49,4176329.9630862568
yes,female,56,4843792.235913146
no,female,49,3388613.5409713406
no,female,60,4240909.960786813
yes,female,62,6176007.400980347
yes,male,52,7223257.669225628
yes,male,49,4545987.526427943
yes,female,55,4280704.890177456
no,female,60,6708692.783671992
yes,female,62,4935702.497917097
no,female,49,3700548.13329156
no,female,51,5062020.520018293
no,female,44,3431741.933850521
yes,male,54,6435970.9074449865
no,female,52,4740745.236322645
yes,female,54,6207021.692279688
yes,female,65,6804107.39466752
yes,female,55,5948020.854606466
no,female,58,5903211.457591081
no,female,53,4260648.070813402
no,male,49,3745489.9196076724
no,male,50,6939989.900352192
no,female,63,6372560.357754485
yes,female,56,3879234.9752416164
yes,female,46,4439855.350138392
no,female,47,4552057.3129591495
no,female,63,5869880.443282434
no,female,57,3198569.0502177496
yes,male,55,5859006.713874933
yes,male,44,5517794.758977632
yes,female,52,4552355.6261573015
no,male,49,4281276.754242582
yes,female,52,4794667.347634694
yes,female,52,3722073.403119435
no,female,47,3162098.6354602003
yes,female,54,4134074.5498388154
no,female,50,4236018.807448484
yes,female,62,5453422.172931171
no,male,47,4351491.019710022
no,male,47,4707032.664037954
no,male,61,7240818.108335529
no,female,49,3708403.13931498
no,female,45,2637455.9561119205
yes,male,53,5681471.272139124
no,female,67,4737207.605689383
yes,male,51,5852387.528681547
yes,male,44,4741838.870851389
yes,female,52,3331025.903785899
no,female,58,6913137.820075771
yes,male,62,5581824.369957652
yes,male,47,6567897.723107977
yes,male,58,7297257.512754258
yes,female,57,6171958.870504525
yes,male,54,5200385.137805938
yes,male,66,9352355.548226291
yes,male,49,4292379.714224263
yes,female,54,4060367.099279425
yes,male,47,5098109.662564348
no,female,63,6088469.593499331
yes,male,53,4615253.81369552
no,male,52,6594585.506227991
no,male,56,4890074.436130248
no,male,51,3718778.473351405
no,male,58,5169079.974379306
yes,female,53,6036598.276594605
no,female,60,5226534.293531184
no,female,46,4032410.1968829045
yes,female,48,3756662.831449402
yes,female,52,4019677.332469897
yes,male,48,4651400.739236168
yes,female,59,5860639.05378357
yes,female,56,3816934.793460433
no,male,62,5003943.690386339
no,male,52,5346024.389646696
no,female,73,4714156.745413312
yes,female,58,6056971.829383415
yes,male,55,4840097.772003709
yes,female,58,3569545.8860239554
yes,male,59,7172877.008326075
yes,male,60,5139341.807850737
yes,female,57,6207054.307402723
no,female,46,3453128.365298107
yes,male,64,7349873.318612678
no,female,56,4056600.793922787
no,female,46,4039300.0359286517
no,female,65,5818857.291237575
yes,male,64,7055237.665928562
no,male,42,6616703.384138283
yes,female,51,4144911.2648219224
no,male,38,2948867.5096407537
no,male,56,4410722.928016293
yes,female,50,3338674.1561872996
yes,male,45,4837726.567760931
no,male,56,6018272.463547521
yes,male,50,6896286.053229527
no,female,51,5707635.314242807
no,male,44,3895956.4705136376
no,male,55,5971965.093308352
yes,female,60,5572366.440599734
no,female,57,4456844.921687916
no,female,47,4297580.4966475
no,male,54,5167048.053003404
yes,male,50,5691970.7201649
no,female,53,5603050.940422969
yes,male,59,5790944.668274651
no,male,46,4988079.764807672
no,female,71,7019426.000666352
yes,female,53,4977142.747407551
yes,female,60,6510750.477334761
no,female,53,2819419.763304275
yes,female,50,2234475.251945088
yes,female,58,6159540.788887222
yes,female,60,5642328.0773279155
yes,female,52,6436912.921808221
no,female,56,6327595.939744441
no,male,46,3375650.3486665925
yes,male,48,4969512.060653822
yes,male,44,4726785.409995963
yes,female,60,5367793.222932363
yes,male,47,6083581.110906656
yes,male,58,7471356.06499398
no,female,52,4451521.061525155
yes,male,58,5996951.967261799
yes,male,55,4357536.069073338
yes,female,44,4618073.097664043
no,female,57,3477521.155426043
no,male,57,5019611.321596779
no,female,55,3706821.9980073217
no,female,51,2786305.102626067
yes,female,58,5887218.7641884675
no,male,62,5629353.019586335
no,male,47,4856130.750924571
no,male,61,6035779.53291329
no,female,51,4573842.788401022
yes,male,55,5216109.030670465
no,male,52,5047270.854364448
no,male,61,6966011.381024335
no,male,52,5885900.747456607
no,male,51,4891899.490894101
yes,male,50,5459767.714121601
no,male,57,4352266.24159769
no,female,55,5245653.479865649
yes,male,44,3891025.662792552
yes,male,54,6086239.308588918
no,female,68,7337407.119485778
no,male,59,7239348.947464321
no,female,43,2430462.5609670402
yes,female,48,2237267.654485541
no,male,60,5996150.63557959
yes,male,50,5887610.146321551
no,male,53,6333364.499178212
yes,female,59,4159316.1163801923
yes,male,51,6274522.097786775
yes,female,64,7101754.832880953
yes,male,66,5889669.727355085
no,female,54,5751017.165762968
yes,male,47,6007294.173258215
yes,male,66,8397203.323303675
no,female,56,4422732.31810233
yes,female,53,5812671.640577229
no,male,47,5682586.958847429
no,male,49,5690697.210916639
yes,male,55,6892657.03025625
no,male,55,4444461.698784687
yes,male,55,6211589.287458505
no,female,65,4607460.2904650895
yes,female,56,4216719.060294846
no,female,57,3728096.5070979525
yes,male,54,6299916.57712076
yes,female,41,2894829.511773176
no,male,52,3161564.131637596
yes,male,58,6800967.357804762
yes,male,47,3897128.0161887594
no,female,43,4206280.734760562
yes,female,59,5501170.16999635
no,male,45,6415934.381944978
yes,female,48,5742516.669785371
no,male,57,6227226.2062054295
yes,male,58,6694400.412782396
no,male,45,4646444.2127988255
yes,male,47,4889538.01789438
no,female,46,3351851.443226741
yes,female,52,4901981.8013904495
no,male,60,5986515.48431914
no,male,57,6269969.192736966
yes,female,49,4735986.635634881
no,female,53,4418199.6719654575
no,female,53,5456073.291946077
yes,male,61,6353690.581942875
no,male,58,7628862.66838318
yes,male,57,6208990.391266189
yes,male,55,6389529.689700066
no,male,56,4734547.852225243
no,male,57,4111577.5686993552
yes,female,52,4497906.882952558
yes,male,46,5315042.628444116
yes,female,56,5376018.033128722
no,female,48,2544255.7669311236
yes,female,47,3538015.612018909
no,female,40,2060986.0460718
yes,male,62,6678150.828807202
no,female,55,4717664.880903772
yes,female,40,3483673.5786434608
no,female,44,2653356.8711085734
yes,female,44,2328229.0059821694
no,female,48,3569658.1002687067
yes,female,44,5131732.026230772
yes,female,52,4417296.621924147
yes,male,50,4620544.350174892
no,female,48,3372225.9261310496
yes,male,44,5329781.910862356
yes,male,49,5668617.733035577
yes,female,53,5111863.626279745
no,female,56,5231382.371683328
no,male,57,4793683.791895516
yes,male,48,4884041.464459379
yes,female,52,5199392.407868002
no,male,51,5442350.6183277
no,female,46,1119069.1807279028
yes,male,49,5200170.873397301
no,female,51,4632178.493283177
no,male,62,6237166.259471799
no,male,59,6577053.640592539
yes,female,47,3141597.9636813896
yes,female,57,5617047.172348285
no,female,55,4404336.255501266
no,female,47,3979812.363794352
yes,female,62,6409786.725631346
yes,male,56,7409838.40651946
yes,male,60,4751110.567450821
yes,female,55,6382094.707425767
no,male,55,6398472.365473288
yes,female,45,5769838.242866323
no,male,52,5277310.115377423
no,female,63,4094152.7241024957
no,female,56,3481966.04307912
yes,male,51,6407066.789115254
yes,male,60,7667832.983008584
no,female,57,3387452.927654965
no,male,48,4069593.018493378
yes,male,49,7380893.980378377
no,female,51,2709183.4126055734
yes,male,48,4427398.013158749
no,male,70,8004245.686146436
yes,male,61,8476918.898880037
yes,female,43,5385715.754495785
no,female,54,4445281.106787815
no,male,61,4884428.973943728
yes,female,62,6065254.942813392
yes,female,51,4516144.103371207
no,male,44,5033134.420160304
yes,male,44,6171326.551516225
no,female,52,3011264.1165505704
yes,female,56,5105871.778872464
yes,male,51,4144154.730873112
no,male,62,5575919.90570728
no,female,57,5191415.144903376
no,female,43,3647205.1990807718
no,female,61,5093125.652000746
no,male,68,7178162.565683578
no,female,55,5368355.463967627
yes,male,48,5654180.184279857
no,female,66,5341517.566006152
no,male,57,4864396.272728763
yes,male,68,7194851.204835361
yes,male,57,6851900.189463078
no,female,44,3899492.9113326883
yes,male,50,5817140.920417114
yes,female,52,4804967.897743428
yes,female,61,4548793.516250791
yes,female,52,3627690.41888546
no,female,52,3853974.106871796
yes,female,48,4483211.328798218
no,male,55,5552600.5355178965
no,female,58,6152099.652174503
yes,male,63,5106521.150972192
yes,male,45,4073335.3924096026
no,female,55,5013448.181132507
yes,male,46,4709574.84338168
no,male,58,5147415.786397346
no,male,59,5791905.800132059
no,male,51,4404676.225281473
no,female,53,3587031.0611045016
no,female,55,1894437.1127732666
no,female,52,4471725.9680477055
no,female,49,4726852.911091845
no,male,48,6190222.359035054
yes,female,57,5300486.660446951
no,male,60,6692254.454410703
yes,male,57,5415322.684162439
yes,female,56,4060920.836819419
yes,male,58,8005617.289964933
yes,male,58,7124880.789485511
no,male,65,6907053.628985009
yes,female,62,5450236.4529352905
yes,female,50,4848533.678633399
no,female,51,3704972.0666326317
no,male,60,6778242.121513961
yes,male,64,5790220.254834421
no,male,54,5567050.048037124
no,male,45,4912257.209318292
yes,male,43,4210142.335212932
no,male,62,6095828.66768739
no,female,71,4577379.863722243
no,female,52,4287475.349606046
no,male,61,5384386.218963419
yes,female,57,5887006.469488636
no,female,57,5758107.769032163
no,male,73,6368271.513562969
yes,female,52,4769672.237711316
yes,male,44,3786480.9225340234
yes,female,49,6096578.531149367
no,male,59,5614263.514903882
no,male,60,7175420.197376147
no,male,58,6433637.978320915
no,female,65,5855564.335501613
no,female,52,3726532.152104429
yes,female,53,4783222.765125942
yes,male,52,6035972.51783153
no,female,56,3172894.548909591
yes,male,52,6213449.399631664
no,male,63,6685572.768637586
yes,female,53,5363032.463329047
yes,female,48,3081640.420592451
yes,male,53,4057210.628093309
no,female,47,3623791.7690441455
no,female,59,2573074.947866695
no,female,48,1973213.7433614847
yes,male,54,8074006.9509232
yes,female,47,3673462.4133746657
no,male,50,4800341.345870714
no,female,60,5495461.266331208
no,female,49,3693408.385488731
yes,female,50,4914477.321396673
yes,female,55,6617409.79748142
no,female,50,3085447.635778517
yes,male,58,5908455.38310788
no,male,59,5544189.072758008
no,male,66,6059128.15826636
yes,male,40,6520804.129526489
yes,male,49,5736858.54465084
no,female,59,4470301.682078233
yes,female,44,5767478.398966151
no,male,56,5546515.603554976
no,male,44,5570287.35496648
yes,female,55,4684085.490311733
no,female,45,1747657.4475244558
no,male,47,3930642.1597414855
yes,male,41,5914405.505916489
yes,male,60,7069242.16725815
yes,male,59,7186223.501004857
yes,female,59,5958259.804407332
yes,male,65,6941692.25638329
no,male,57,5548442.581950045
yes,male,51,6655905.851009557
no,female,48,5435246.825847544
no,female,57,3658658.679585818
yes,female,48,5711357.118132988
no,female,50,3469999.887653648
yes,male,51,7283996.164700698
yes,male,52,6539113.779673967
yes,male,55,7315979.114605567
no,female,58,4785978.177937854
yes,male,50,7481631.370510941
no,male,52,5127473.7837384
no,male,52,5491104.081820075
no,female,32,801015.0450759011
yes,male,51,4441368.847192097
no,female,43,4313904.528448429
yes,female,58,5525676.694261958
no,female,70,4607312.576313164
no,male,56,5190224.196909883
no,male,50,4938874.055909613
no,female,58,4123013.5876149973
yes,female,43,3873934.1139100664
no,male,46,3867899.3846681146
yes,female,48,4085003.930137634
yes,male,56,6347426.81915624
no,male,44,4825416.980630786
yes,male,54,5303370.485491339
yes,male,51,5250368.840482546
no,female,49,3502116.1941795303
no,female,55,4535691.065600728
yes,female,48,4794778.499562652
yes,female,50,4711114.175483315
no,male,39,4756011.794193731
yes,male,45,3686573.0054481453
yes,female,44,2931553.586355811
no,female,53,5315315.036110784
no,male,50,4676013.026622662
no,female,56,4188698.5075199273
yes,male,63,7275232.975381098
yes,male,49,6678936.448486241
yes,male,48,5237563.461318179
no,female,62,4059269.2986617596
no,male,49,4656856.330401993
no,male,52,6028071.842461656
no,male,59,6799253.538521601
yes,female,51,3399828.3358376506
yes,male,54,6477630.331319808
no,male,55,5354857.155580672
no,female,68,4316559.128344417
yes,female,48,4885359.889698712
yes,female,43,4942393.141808706
yes,male,52,5221582.162969721
no,male,51,5144035.523338686
yes,male,49,6493623.730534729
no,male,58,5960483.547201434
yes,female,58,4421768.50318071
no,male,62,6088550.144677749
no,male,59,5390738.422531642
no,male,45,4250691.108181053
no,male,57,5064238.440175477
yes,male,52,8698909.411464345
yes,female,58,4748979.009051649
yes,male,60,6647235.55500188
no,female,49,2896097.09563545
yes,female,50,3317560.3018318163
no,female,47,3163121.8675984475
yes,female,50,5221138.888208334
yes,female,54,5855147.047633281
no,female,65,6535984.452258352
yes,female,46,3632867.879035938
yes,male,49,5050001.873885706
no,female,57,4298877.882925802
no,male,55,5515759.142196619
no,female,60,4906847.010735019
yes,female,53,4088410.245712246
no,female,51,4270280.764273699
yes,female,40,3294036.7378088897
yes,male,46,5297810.8178712325
yes,female,50,3125204.1566911726
no,female,55,6021276.668193858
yes,female,55,6086442.846381722
yes,female,67,6609822.772406975
no,female,52,4097536.171734373
no,male,46,4481513.329246804
yes,female,61,4521314.116024303
no,female,62,4073217.6228201594
no,female,57,5992980.106286624
no,male,68,6380394.270332894
yes,male,52,4108904.5420987075
no,female,57,4051487.881295759
no,male,59,5292257.521191062
yes,female,42,4231780.149996345
yes,female,46,3929633.383133199
yes,male,65,7003254.707525708
no,female,52,3195331.885342819
yes,female,60,4480984.051449448
no,female,57,5208467.008300839
yes,male,67,7786854.849204237
no,male,55,3537009.5822636723
yes,male,55,6422421.808283834
yes,female,48,5390843.123282082
no,female,60,3896519.721982407
no,female,46,3313732.9389488706
no,male,62,6380192.980692271
yes,male,28,3739733.8641052563
yes,female,62,4463506.148919434
no,female,58,4132969.774007005
no,male,65,5294838.455331475
no,male,51,2784250.2000326724
yes,female,56,5196632.942594344
no,female,48,4846312.04290912
no,male,49,4911017.872449368
yes,female,58,4087033.1602765094
no,female,56,4333721.261328837
yes,male,52,3620743.008074518
no,female,59,5254865.694287553
no,female,53,4493718.965591104
yes,male,58,7168824.578950898
yes,male,59,5939237.778272472
no,male,59,6567103.115850193
no,male,52,4846864.384299237
no,female,60,4499860.235884832
yes,male,42,4852315.268430842
yes,female,70,5617998.359196969
no,male,57,6206854.535933622
no,female,56,4197435.88079761
yes,male,62,6534438.234652705
no,male,46,4468538.793022699
no,female,48,4107999.7628392824
no,female,45,2559825.1776156863
no,male,50,3856775.71277031
no,male,52,4640409.165692328
yes,female,42,2749406.863019115
yes,male,68,7373443.679683998
no,female,57,5720097.315825364
yes,female,54,4250210.938141977
yes,female,56,4047472.3986256286
yes,female,55,3537665.384602902
no,male,50,4427509.10641429
yes,male,53,6167622.711414762
yes,female,47,4452118.8296865355
yes,male,55,6274479.248924189
yes,female,49,4939877.4907362815
no,female,35,2787311.141691104
yes,female,65,5889793.371895715
no,male,46,5614271.052100752
yes,female,48,4772359.9175176835
no,female,41,2850537.7163665094
no,male,56,5132310.971514725
yes,female,52,4927233.085089068
no,male,52,4763094.429792031
no,female,53,3610998.624532687
yes,male,54,6723774.5479668565
yes,male,55,6603497.180962697
yes,male,55,7144614.202763403
yes,female,68,6671280.726191602
no,male,53,6350381.820129792
no,male,52,3952672.3533480554
no,female,57,4644236.36100174
no,male,35,3640385.9104396324
no,male,48,6290380.351155955
yes,male,51,6660826.532294657
no,male,56,6365336.448741089
no,male,44,5944110.56831643
no,male,57,5844845.881134984
no,female,48,3802491.150267151
yes,female,46,4276069.394258871
no,female,59,5015947.776899634
yes,male,60,5583896.900118563
no,female,51,3489117.117367758
no,male,61,5617249.144414044
no,female,58,3470669.08396818
yes,male,54,4633684.090685596
yes,female,41,3658053.406457202
yes,male,44,4590392.3390607955
yes,male,41,3266343.783254294
yes,female,70,6543436.679085156
no,female,51,4346617.192989039
no,female,61,5019671.982446715
yes,female,56,3853587.7542032097
no,male,52,5744411.602559109
yes,male,54,6952050.435327736
no,male,60,4698847.084925047
no,female,49,2572837.8717170716
yes,female,53,6099740.16491702
yes,female,57,4571871.108760992
no,female,53,3624009.0702456413
no,male,66,7779667.154837129
yes,female,49,4857028.944659134
no,male,54,5149891.188163572
yes,female,63,6314472.481516494
yes,female,44,3508133.365496631
yes,male,57,6060565.403965436
no,female,62,3538779.241707517
yes,male,51,4168703.413185014
no,female,50,4004735.236032945
yes,male,65,8661610.758669151
no,female,55,3670343.3131294753
yes,male,50,6696615.424857702
yes,male,67,5797426.837261138
yes,female,61,5854497.809152403
yes,female,41,3693996.6108042183
yes,female,53,3530017.949453048
yes,female,63,5657220.411110883
no,male,47,4294153.924558384
no,male,49,5455514.864693369
yes,male,59,8476262.41534502
yes,male,65,8129535.603822142
no,female,43,4445864.668590426
yes,male,53,5498260.337944164
yes,male,44,3996035.2614530544
no,male,38,5051105.042792934
yes,male,48,4166468.9988089493
yes,female,51,5538420.815621231
no,male,42,3793588.3271892825
no,female,49,4154682.9143015645
no,male,47,6317773.610828833
no,female,61,4264197.621761428
no,male,55,5961960.395836494
no,female,48,4350702.258577333
no,female,64,4537579.298463783
no,female,48,3410530.722747628
yes,female,57,3616256.1739169885
no,female,56,5056515.142027187
yes,female,61,6758350.95885377
no,female,36,3793169.0234541553
yes,female,44,3958636.465139587
yes,male,45,6513579.866451653
no,female,51,4051748.615686524
no,female,46,4423929.592646133
no,female,57,4344151.109798274
yes,male,55,4309968.48206787
no,female,64,5050550.779521976
yes,female,66,5007716.017106336
yes,male,60,6166608.7026435295
yes,male,53,6437982.091332174
no,male,56,5103136.70275844
yes,female,54,4572191.704047535
no,male,48,3205064.7772764526
no,female,51,2352121.2850437327
yes,male,58,6802576.36105807
no,female,47,1431518.9646740763
yes,female,55,5427445.219213361
no,female,64,6026291.738674374
no,male,47,4748406.419615435
yes,male,44,4811437.767583978
yes,female,53,5013209.536845993
yes,female,55,4236244.05940277
no,female,53,5047409.380210925
no,female,35,2911203.1147075673
yes,male,61,6646248.916706593
yes,male,48,4587854.640160995
no,male,51,4453527.156673854
no,male,47,3429048.841715819
yes,female,55,4472763.1561777415
no,male,44,4341610.755621336
no,male,49,4980942.608098475
yes,male,53,5946905.270366361
no,female,56,6101153.8344467655
yes,male,50,6829656.007919503
yes,male,52,4640125.997197459
yes,male,51,6258036.691669286
yes,female,52,5524196.522493142
no,female,49,4438422.537523117
no,female,50,3952750.906885718
no,male,43,4031463.2203448196
no,male,56,4715829.07838074
yes,male,58,6728371.8584059235
no,male,55,5747422.591457958
no,female,56,4979850.140850115
yes,female,48,5446825.372492988
yes,female,54,4678510.16775268
yes,female,57,4425860.907679401
no,male,52,4812549.244552164
yes,female,65,5734957.794484667
no,female,50,3253092.780220399
no,female,61,5413135.730163999
yes,female,59,3159144.5965191945
no,male,64,6916066.611321542
no,male,53,3865379.74496514
no,female,59,5330498.62456796
yes,male,67,6816250.002353961
no,female,59,4451351.215606864
yes,female,55,6200661.456031982
no,male,49,6683966.239253043
no,male,57,6760182.565367763
no,male,61,5695200.918573139
yes,male,60,6852175.207544378
yes,male,51,5472359.1961297365
yes,female,61,4313438.670095874
no,male,51,2402697.4823297746
no,male,55,6064780.087035325
no,male,65,5767740.323164145
no,male,54,3647042.9723840943
no,male,67,8125805.691690558
yes,female,45,2727603.634939294
yes,female,48,4349011.892843364
no,female,36,2214629.3670151215
no,female,51,3778025.00935809
no,female,61,4498092.232210565
yes,male,49,7184650.286855047
no,male,56,5200322.470985055
yes,female,48,4272979.8531862
yes,male,39,5578228.338561092
no,female,47,4596766.428007804
no,male,49,3499109.4012058335
yes,male,46,5313080.129810503
no,male,38,4061022.6115208957
yes,male,48,4115256.261727081
yes,female,58,5162515.651710907
yes,male,61,6780194.029020753
no,male,43,3559370.9032701408
yes,female,59,4217336.413741391
yes,male,52,5056487.15635932
no,female,63,5068662.877890826
no,female,55,4378205.383491155
yes,male,56,5098513.660821955
yes,male,47,4394049.048635073
no,male,56,4557729.800285609
no,male,60,6601602.151265996
yes,male,44,6637551.980514068
no,female,60,4662991.699153656
no,male,50,5414755.248909292
yes,male,47,4845988.111009397
yes,female,48,5357409.787472265
yes,female,57,4184375.070792394
no,female,53,3083925.835927477
no,female,60,3039317.413583855
no,female,43,4380180.872287074
no,female,50,1805701.5152376483
no,female,51,4757204.439122204
no,male,50,4386759.528957677
no,female,56,6779401.727328008
yes,male,56,5381746.614690089
no,female,58,6190843.308085009
yes,male,61,5113573.561172841
no,female,43,3466705.4729937064
yes,male,56,5380230.548693271
yes,male,60,7233247.31048248
yes,female,63,4401467.7051027045
no,female,45,3902841.4623927125
no,female,51,3876208.9367187936
no,female,41,2456099.7786427154
no,female,49,4093634.3882481875
yes,female,47,3098589.7312294296
yes,male,67,8029513.808139054
no,female,61,3812401.2348247194
yes,female,52,4708471.983543642
yes,female,54,5190899.745327892
yes,male,64,5689961.281210624
no,male,46,5447167.020243394
no,female,60,3871817.7853116468
yes,male,54,7587584.863551011
yes,male,60,7652978.403077499
no,female,52,2876951.8612287845
no,female,51,4534438.144589787
no,female,63,4970897.054236376
yes,female,65,5491734.560496894
yes,male,56,5827344.43666707
no,female,55,5115714.299553412
no,female,59,5287087.708317839
yes,male,42,3180904.7792625683
no,female,49,3670820.749067127
yes,male,50,5196620.967990426
yes,male,62,5920588.095203624
no,female,65,4097254.9460304123
no,female,59,5043171.365971461
yes,female,42,3436951.335326748
no,male,59,6847455.939569254
yes,male,50,6278121.797885626
yes,female,39,2314356.621211768
yes,female,55,5080267.229066575
yes,female,45,3566227.7955141203
yes,male,46,4686582.311458708
yes,female,60,5335907.634488116
no,male,61,6759862.523991205
no,male,51,4119117.9825475113
yes,female,56,5477101.990286694
yes,male,46,5478307.664810455
yes,male,54,4895179.507981949
yes,female,64,7393354.169182909
no,female,56,3747307.6325067612
yes,female,50,5226708.952272582
no,female,49,2905952.3662777343
yes,male,60,5746604.660561421
yes,male,45,4115811.691328686
yes,female,59,5667691.889105454
yes,female,58,4782458.2182322955
no,male,49,4640420.173652883
yes,male,55,5159314.591073215
yes,male,55,5653577.263515998
yes,female,53,2729583.043842631
no,male,50,4779758.746336926
yes,male,54,5564973.059736735
no,male,67,4820729.244360868
